"date","type","bottom","top","lower","upper","median","mean"
2020-04-05,"nowcast",3,13,5,9,9,8.93
2020-04-06,"nowcast",5,15,7,11,10,10.166
2020-04-07,"nowcast",5,16,8,12,11,11.239
2020-04-08,"nowcast",6,18,8,13,12,12.352
2020-04-09,"nowcast",8,20,9,14,14,13.749
2020-04-10,"nowcast",8,20,10,15,15,14.748
2020-04-11,"nowcast",9,22,12,17,16,16.079
2020-04-12,"nowcast",9,23,12,18,17,17.472
2020-04-13,"nowcast",11,25,16,21,18,18.597
2020-04-14,"nowcast",11,26,17,22,20,20.011
2020-04-15,"nowcast",13,28,17,23,21,21.302
2020-04-16,"nowcast",15,31,18,24,23,23.054
2020-04-17,"nowcast",16,33,19,26,25,25.207
2020-04-18,"nowcast",17,35,22,29,27,27.304
2020-04-19,"nowcast",20,38,25,32,30,29.571
2020-04-20,"nowcast",22,40,27,34,32,32.156
2020-04-21,"nowcast",25,44,29,36,34,34.732
2020-04-22,"nowcast",26,46,32,39,36,36.587
2020-04-23,"nowcast",28,49,32,41,39,39.179
2020-04-24,"nowcast",31,52,37,45,42,41.848
2020-04-25,"nowcast",33,54,36,45,44,43.697
2020-04-26,"nowcast",34,56,41,49,46,46.104
2020-04-27,"nowcast",36,57,40,49,47,47.592
2020-04-28,"nowcast",37,60,43,52,49,49.459
2020-04-29,"nowcast",38,61,44,53,50,50.273
2020-04-30,"nowcast",39,62,47,56,51,51.82
2020-05-01,"nowcast",40,64,48,57,53,53.354
2020-05-02,"nowcast",43,67,47,57,55,55.555
2020-05-03,"nowcast",43,69,49,59,57,57.473
2020-05-04,"nowcast",44,70,54,64,59,59.213
2020-05-05,"nowcast",49,74,56,66,62,62.07
2020-05-06,"nowcast",50,76,57,67,64,64.352
2020-05-07,"nowcast",53,79,60,70,67,67.12
2020-05-08,"nowcast",53,80,60,71,69,68.954
2020-05-09,"nowcast",56,83,65,75,70,71.047
2020-05-10,"nowcast",58,83,66,76,72,71.936
2020-05-11,"nowcast",58,85,66,77,73,72.723
2020-05-12,"nowcast",60,87,66,77,74,73.563
2020-05-13,"nowcast",59,87,66,77,74,74.736
2020-05-14,"nowcast",61,91,70,81,76,76.456
2020-05-15,"nowcast",63,93,73,85,79,79.348
2020-05-16,"nowcast",65,96,76,87,82,82.187
2020-05-17,"nowcast",66,99,75,88,84.5,84.739
2020-05-18,"nowcast",70,103,77,90,87,87.504
2020-05-19,"nowcast",74,106,83,96,91,91.145
2020-05-20,"nowcast",77,112,83,98,95,95.279
2020-05-21,"nowcast",81,118,90,105,100,100.407
2020-05-22,"nowcast",85,124,97,112,106,106.234
2020-05-23,"nowcast",92,132,101,117,113,112.987
2020-05-24,"nowcast",97,138,107,124,120,119.798
2020-05-25,"nowcast",105,146,119,134,128,127.412
2020-05-26,"nowcast",110,152,125,141,134,133.877
2020-05-27,"nowcast",118,160,130,146,141,141.058
2020-05-28,"nowcast",126,167,138,155,148.5,148.397
2020-05-29,"nowcast",131,173,144,160,154,154.05
2020-05-30,"nowcast",137,178,147,165,159,159.421
2020-05-31,"nowcast",143,184,153,169,163,163.293
2020-06-01,"nowcast",142,186,154,171,165,165.559
2020-06-02,"nowcast",146,188,160,176,167,166.928
2020-06-03,"nowcast",147,190,157,175,170,169.667
2020-06-04,"nowcast",150,196,164,181,173,173.075
2020-06-05,"nowcast",155,201,167,186,179,179.341
2020-06-06,"nowcast",162,204,173,190,184,184.316
2020-06-07,"nowcast",164,210,179,198,190,190.003
2020-06-08,"nowcast",170,217,180,200,194.5,194.878
2020-06-09,"nowcast",173,223,185,206,200,199.931
2020-06-10,"nowcast",178,233,194,215,207,207.88
2020-06-11,"nowcast",187,243,206,228,216,216.802
2020-06-12,"nowcast",198,256,210,233,226,228.229
2020-06-13,"nowcast",204,267,223,249,239,241.032
2020-06-14,"forecast",196,290,217,255,242,245.4094
2020-06-15,"forecast",197,306,228,271,252,255.1432
2020-06-16,"forecast",193,320,234,283,261,264.9656
2020-06-17,"forecast",194,341,231,288,269,274.6538
2020-06-18,"forecast",196,357,242,304,280,286.0706
2020-06-19,"forecast",201,379,244,313,289,297.1822
2020-06-20,"forecast",204,402,243,321,299,308.7478
2020-06-21,"forecast",190,413,273,359,308,319.9196
2020-06-22,"forecast",199,446,256,351,319,332.053
2020-06-23,"forecast",198,470,272,374,330,345.4052
2020-06-24,"forecast",195,495,275,385,340,358.5236
2020-06-25,"forecast",199,520,272,394,351,373.6084
2020-06-26,"forecast",194,549,287,419,365,388.5924
2020-06-27,"forecast",185,560,284,428,376,406.506
