"Region","New confirmed cases by infection date","Expected change in daily cases","Effective reproduction no.","Doubling/halving time (days)"
"BA-Santo Antônio de Jesus","21 (11 -- 28)","Unsure","0.9 (0.7 -- 1.2)","-35 (11 -- -6.6)"
"BA-Santo Estêvão","18 (8 -- 25)","Likely increasing","1.3 (0.9 -- 1.7)","12 (4.1 -- -15)"
"BA-São Francisco do Conde","13 (5 -- 19)","Unsure","1 (0.6 -- 1.4)","-62 (7 -- -5.7)"
"BA-São Gonçalo dos Campos","12 (5 -- 18)","Likely increasing","1.3 (0.8 -- 1.9)","9.8 (3.4 -- -12)"
"BA-São Sebastião do Passé","15 (6 -- 22)","Unsure","1 (0.6 -- 1.3)","-250 (7.1 -- -6.8)"
"BA-Serrinha","16 (8 -- 23)","Unsure","1 (0.6 -- 1.3)","390 (6.9 -- -7.4)"
"BA-Simões Filho","15 (7 -- 22)","Unsure","1.1 (0.7 -- 1.4)","41 (5.6 -- -7.5)"
"BA-Sobradinho","10 (3 -- 15)","Unsure","1.3 (0.7 -- 1.8)","11 (3.4 -- -8.7)"
"BA-Taperoá","13 (6 -- 19)","Unsure","1.2 (0.7 -- 1.6)","21 (4.7 -- -8.7)"
"BA-Teixeira de Freitas","56 (39 -- 69)","Increasing","1.4 (1.1 -- 1.7)","7.2 (4.3 -- 21)"
"BA-Ubatã","19 (8 -- 26)","Unsure","1 (0.7 -- 1.3)","-41 (8.6 -- -6)"
"BA-Valença","15 (7 -- 22)","Unsure","0.9 (0.6 -- 1.2)","-140 (7.2 -- -6.8)"
"BA-Vitória da Conquista","85 (68 -- 100)","Likely increasing","1.1 (0.9 -- 1.2)","30 (11 -- -36)"
"BA-Wenceslau Guimarães","15 (6 -- 23)","Unsure","1 (0.6 -- 1.4)","-50 (7.5 -- -5.8)"
