"date","type","bottom","top","lower","upper","median","mean","rt_type"
2020-05-19,"nowcast",113,154,128,144,135,135.514,NA
2020-05-20,"nowcast",120,162,130,148,142,142.29,NA
2020-05-21,"nowcast",129,171,138,155,150,150.235,NA
2020-05-22,"nowcast",135,176,145,162,157,156.861,NA
2020-05-23,"nowcast",140,180,151,167,161,161.451,NA
2020-05-24,"nowcast",143,184,153,169,165,164.683,NA
2020-05-25,"nowcast",143,185,154,171,165.5,165.871,NA
2020-05-26,"nowcast",145,187,156,172,165,165.407,NA
2020-05-27,"nowcast",142,186,155,172,166,166.211,NA
2020-05-28,"nowcast",142,190,156,175,167,167.019,NA
2020-05-29,"nowcast",147,198,161,181,172,172.359,NA
2020-05-30,"nowcast",152,204,164,185,178,178.577,NA
2020-05-31,"nowcast",161,217,171,195,189,189.462,NA
2020-06-01,"nowcast",171,231,189,212,201,201.356,NA
2020-06-02,"nowcast",182,241,200,223,214,214.589,NA
2020-06-03,"nowcast",198,257,214,237,228,228.041,NA
2020-06-04,"nowcast",208,269,224,248,239,240.067,NA
2020-06-05,"nowcast",213,276,229,254,247,248.173,NA
2020-06-06,"nowcast",220,291,237,264,253,254.772,NA
2020-06-07,"nowcast",222,309,240,272,259,261.83,NA
2020-06-08,"nowcast",231,332,238,277,270,274.907,NA
2020-06-09,"nowcast",231,362,247,295,284,292.709,NA
2020-06-10,"nowcast",251,404,266,322,310,322.893,NA
2020-06-11,"nowcast",273,473,282,351,341.5,365.42,NA
2020-06-12,"nowcast",302,558,312,389,380.5,418.875,NA
2020-06-13,"nowcast",345,683,348,426,417,486.519,NA
2020-03-27,"Observed by report date",NA,NA,NA,NA,0,NA,NA
2020-03-28,"Observed by report date",NA,NA,NA,NA,22,NA,NA
2020-03-29,"Observed by report date",NA,NA,NA,NA,12,NA,NA
2020-03-30,"Observed by report date",NA,NA,NA,NA,2,NA,NA
2020-03-31,"Observed by report date",NA,NA,NA,NA,6,NA,NA
2020-04-01,"Observed by report date",NA,NA,NA,NA,6,NA,NA
2020-04-02,"Observed by report date",NA,NA,NA,NA,8,NA,NA
2020-04-03,"Observed by report date",NA,NA,NA,NA,21,NA,NA
2020-04-04,"Observed by report date",NA,NA,NA,NA,14,NA,NA
2020-04-05,"Observed by report date",NA,NA,NA,NA,17,NA,NA
2020-04-06,"Observed by report date",NA,NA,NA,NA,5,NA,NA
2020-04-07,"Observed by report date",NA,NA,NA,NA,3,NA,NA
2020-04-08,"Observed by report date",NA,NA,NA,NA,-4,NA,NA
2020-04-09,"Observed by report date",NA,NA,NA,NA,0,NA,NA
2020-04-10,"Observed by report date",NA,NA,NA,NA,5,NA,NA
2020-04-11,"Observed by report date",NA,NA,NA,NA,14,NA,NA
2020-04-12,"Observed by report date",NA,NA,NA,NA,5,NA,NA
2020-04-13,"Observed by report date",NA,NA,NA,NA,9,NA,NA
2020-04-14,"Observed by report date",NA,NA,NA,NA,14,NA,NA
2020-04-15,"Observed by report date",NA,NA,NA,NA,12,NA,NA
2020-04-16,"Observed by report date",NA,NA,NA,NA,1,NA,NA
2020-04-17,"Observed by report date",NA,NA,NA,NA,32,NA,NA
2020-04-18,"Observed by report date",NA,NA,NA,NA,32,NA,NA
2020-04-19,"Observed by report date",NA,NA,NA,NA,23,NA,NA
2020-04-20,"Observed by report date",NA,NA,NA,NA,20,NA,NA
2020-04-21,"Observed by report date",NA,NA,NA,NA,4,NA,NA
2020-04-22,"Observed by report date",NA,NA,NA,NA,21,NA,NA
2020-04-23,"Observed by report date",NA,NA,NA,NA,31,NA,NA
2020-04-24,"Observed by report date",NA,NA,NA,NA,23,NA,NA
2020-04-25,"Observed by report date",NA,NA,NA,NA,12,NA,NA
2020-04-26,"Observed by report date",NA,NA,NA,NA,27,NA,NA
2020-04-27,"Observed by report date",NA,NA,NA,NA,-1,NA,NA
2020-04-28,"Observed by report date",NA,NA,NA,NA,6,NA,NA
2020-04-29,"Observed by report date",NA,NA,NA,NA,117,NA,NA
2020-04-30,"Observed by report date",NA,NA,NA,NA,48,NA,NA
2020-05-01,"Observed by report date",NA,NA,NA,NA,64,NA,NA
2020-05-02,"Observed by report date",NA,NA,NA,NA,36,NA,NA
2020-05-03,"Observed by report date",NA,NA,NA,NA,10,NA,NA
2020-05-04,"Observed by report date",NA,NA,NA,NA,9,NA,NA
2020-05-05,"Observed by report date",NA,NA,NA,NA,24,NA,NA
2020-05-06,"Observed by report date",NA,NA,NA,NA,17,NA,NA
2020-05-07,"Observed by report date",NA,NA,NA,NA,75,NA,NA
2020-05-08,"Observed by report date",NA,NA,NA,NA,27,NA,NA
2020-05-09,"Observed by report date",NA,NA,NA,NA,43,NA,NA
2020-05-10,"Observed by report date",NA,NA,NA,NA,-1,NA,NA
2020-05-11,"Observed by report date",NA,NA,NA,NA,35,NA,NA
2020-05-12,"Observed by report date",NA,NA,NA,NA,2,NA,NA
2020-05-13,"Observed by report date",NA,NA,NA,NA,117,NA,NA
2020-05-14,"Observed by report date",NA,NA,NA,NA,58,NA,NA
2020-05-15,"Observed by report date",NA,NA,NA,NA,102,NA,NA
2020-05-16,"Observed by report date",NA,NA,NA,NA,103,NA,NA
2020-05-17,"Observed by report date",NA,NA,NA,NA,71,NA,NA
2020-05-18,"Observed by report date",NA,NA,NA,NA,21,NA,NA
2020-05-19,"Observed by report date",NA,NA,NA,NA,71,NA,NA
2020-05-20,"Observed by report date",NA,NA,NA,NA,132,NA,NA
2020-05-21,"Observed by report date",NA,NA,NA,NA,85,NA,NA
2020-05-22,"Observed by report date",NA,NA,NA,NA,59,NA,NA
2020-05-23,"Observed by report date",NA,NA,NA,NA,138,NA,NA
2020-05-24,"Observed by report date",NA,NA,NA,NA,27,NA,NA
2020-05-25,"Observed by report date",NA,NA,NA,NA,3,NA,NA
2020-05-26,"Observed by report date",NA,NA,NA,NA,274,NA,NA
2020-05-27,"Observed by report date",NA,NA,NA,NA,52,NA,NA
2020-05-28,"Observed by report date",NA,NA,NA,NA,0,NA,NA
2020-05-29,"Observed by report date",NA,NA,NA,NA,355,NA,NA
2020-05-30,"Observed by report date",NA,NA,NA,NA,332,NA,NA
2020-05-31,"Observed by report date",NA,NA,NA,NA,0,NA,NA
2020-06-01,"Observed by report date",NA,NA,NA,NA,195,NA,NA
2020-06-02,"Observed by report date",NA,NA,NA,NA,106,NA,NA
2020-06-03,"Observed by report date",NA,NA,NA,NA,288,NA,NA
2020-06-04,"Observed by report date",NA,NA,NA,NA,41,NA,NA
2020-06-05,"Observed by report date",NA,NA,NA,NA,72,NA,NA
2020-06-06,"Observed by report date",NA,NA,NA,NA,4,NA,NA
2020-06-07,"Observed by report date",NA,NA,NA,NA,0,NA,NA
2020-06-08,"Observed by report date",NA,NA,NA,NA,525,NA,NA
2020-06-09,"Observed by report date",NA,NA,NA,NA,69,NA,NA
2020-06-10,"Observed by report date",NA,NA,NA,NA,159,NA,NA
2020-06-11,"Observed by report date",NA,NA,NA,NA,602,NA,NA
2020-06-12,"Observed by report date",NA,NA,NA,NA,112,NA,NA
2020-06-13,"Observed by report date",NA,NA,NA,NA,154,NA,NA
2020-06-14,"Observed by report date",NA,NA,NA,NA,140,NA,NA
2020-06-15,"Observed by report date",NA,NA,NA,NA,12,NA,NA
2020-06-16,"Observed by report date",NA,NA,NA,NA,417,NA,NA
2020-06-17,"Observed by report date",NA,NA,NA,NA,0,NA,NA
2020-06-18,"Observed by report date",NA,NA,NA,NA,225,NA,NA
2020-06-19,"Observed by report date",NA,NA,NA,NA,62,NA,NA
2020-06-20,"Observed by report date",NA,NA,NA,NA,1397,NA,NA
2020-06-21,"Observed by report date",NA,NA,NA,NA,22,NA,NA
2020-06-14,"nowcast",320,778,336,464,451,525.994,"forecast"
2020-06-15,"nowcast",325,912,350,511,492,591.2484,"forecast"
2020-06-16,"nowcast",336,1083,368,564,536,664.6468,"forecast"
2020-06-17,"nowcast",355,1305,379,604,582,752.7058,"forecast"
2020-06-18,"nowcast",350,1521,391,657,633,852.8304,"forecast"
2020-06-19,"nowcast",356,1821,405,722,690,975.1722,"forecast"
2020-06-20,"nowcast",357,2166,436,789,749.5,1126.6556,"forecast"
2020-06-21,"nowcast",337,2595,442,854,809.5,1311.287,"forecast"
2020-06-22,"nowcast",355,3091,449,916,885,1539.0818,"forecast"
2020-06-23,"nowcast",341,3771,452,1010,967,1819.189,"forecast"
2020-06-24,"nowcast",372,4577,469,1093,1049,2193.9012,"forecast"
2020-06-25,"nowcast",388,5564,499,1207,1151.5,2689.8382,"forecast"
2020-06-26,"nowcast",385,6776,507,1322,1261.5,3493.0854,"forecast"
2020-06-27,"nowcast",350,8164,506,1414,1368,4353.9176,"forecast"
