"Region","New confirmed cases by infection date","Expected change in daily cases","Effective reproduction no.","Doubling/halving time (days)"
"PI-Joca Marques","4 (0 -- 7)","Unsure","1.2 (0.4 -- 1.9)","16 (2.3 -- -3.3)"
"PI-José de Freitas","10 (4 -- 17)","Unsure","0.9 (0.5 -- 1.1)","-13 (12 -- -4)"
"PI-Juazeiro do Piauí","4 (0 -- 7)","Likely increasing","1.7 (0.5 -- 2.9)","4.5 (1.4 -- -3.7)"
"PI-Lagoa Alegre","4 (0 -- 7)","Likely increasing","1.7 (0.7 -- 3)","5.3 (1.7 -- -4.9)"
"PI-Lagoa do Barro do Piauí","12 (5 -- 18)","Likely increasing","1.5 (0.9 -- 2.1)","6.3 (2.7 -- -18)"
"PI-Lagoa do Piauí","4 (1 -- 8)","Unsure","1.1 (0.4 -- 1.7)","-150 (3.3 -- -3.2)"
"PI-Lagoinha do Piauí","4 (0 -- 7)","Unsure","1.4 (0.4 -- 2.2)","9.1 (2.3 -- -4.4)"
"PI-Luís Correia","3 (0 -- 6)","Unsure","1.6 (0.4 -- 2.8)","5.7 (1.6 -- -3.6)"
"PI-Luzilândia","6 (1 -- 12)","Unsure","0.9 (0.4 -- 1.5)","-15 (5.4 -- -3.4)"
"PI-Manoel Emídio","4 (0 -- 8)","Likely increasing","1.7 (0.3 -- 2.7)","5.7 (1.7 -- -3.8)"
"PI-Marcolândia","11 (3 -- 16)","Likely increasing","1.5 (0.8 -- 2.1)","6.9 (2.8 -- -18)"
"PI-Marcos Parente","4 (0 -- 7)","Likely increasing","1.6 (0.4 -- 2.7)","6.4 (1.6 -- -3.4)"
"PI-Matias Olímpio","7 (1 -- 11)","Unsure","1.1 (0.6 -- 1.7)","-150 (4.6 -- -4.6)"
"PI-Miguel Alves","14 (6 -- 21)","Unsure","1.1 (0.7 -- 1.5)","34 (5 -- -6.8)"
"PI-Monsenhor Gil","8 (1 -- 13)","Unsure","1.1 (0.5 -- 1.5)","1300 (4.8 -- -4.5)"
"PI-Monsenhor Hipólito","6 (1 -- 11)","Unsure","1.2 (0.5 -- 1.7)","-150 (3.9 -- -3.7)"
"PI-Monte Alegre do Piauí","4 (1 -- 9)","Unsure","1.3 (0.6 -- 2.1)","9.6 (2.5 -- -5.7)"
"PI-Morro do Chapéu do Piauí","6 (1 -- 10)","Unsure","1.3 (0.6 -- 2)","15 (2.9 -- -5)"
"PI-Nazária","3 (0 -- 6)","Likely increasing","1.8 (0.4 -- 3)","3.9 (1.3 -- -3.4)"
"PI-Nossa Senhora dos Remédios","9 (2 -- 14)","Unsure","0.9 (0.4 -- 1.3)","-53 (5.6 -- -4.4)"
"PI-Novo Oriente do Piauí","3 (0 -- 6)","Unsure","1.5 (0.5 -- 2.8)","7.7 (1.8 -- -3.3)"
"PI-Oeiras","15 (8 -- 23)","Unsure","1 (0.7 -- 1.3)","91 (6.4 -- -7.7)"
"PI-Olho D'Água do Piauí","5 (0 -- 10)","Unsure","1.5 (0.2 -- 2.7)","9.2 (1.6 -- -2.8)"
"PI-Padre Marcos","3 (0 -- 7)","Likely increasing","1.7 (0.4 -- 2.8)","5 (1.2 -- -1.9)"
"PI-Palmeira do Piauí","4 (0 -- 8)","Unsure","1.4 (0.4 -- 2.3)","8 (2 -- -3.6)"
"PI-Palmeirais","9 (3 -- 14)","Unsure","1.2 (0.7 -- 1.8)","14 (3.4 -- -6.7)"
"PI-Parnaguá","5 (0 -- 9)","Likely increasing","1.8 (0.6 -- 2.9)","4.8 (1.5 -- -3.9)"
"PI-Parnaíba","29 (18 -- 40)","Unsure","1 (0.7 -- 1.3)","120 (8.2 -- -10)"
"PI-Passagem Franca do Piauí","6 (2 -- 10)","Likely increasing","1.4 (0.6 -- 2.2)","10 (2.7 -- -4.5)"
"PI-Patos do Piauí","4 (0 -- 10)","Unsure","1.6 (0.4 -- 2.8)","7.1 (1.5 -- -2.9)"
"PI-Paulistana","5 (0 -- 10)","Unsure","1.5 (0.5 -- 2.5)","6.2 (1.9 -- -5.5)"
"PI-Pedro II","5 (1 -- 10)","Unsure","1.2 (0.4 -- 1.9)","13 (2.3 -- -3.8)"
"PI-Picos","27 (13 -- 34)","Unsure","1 (0.7 -- 1.3)","120 (7.6 -- -9.7)"
"PI-Pio IX","5 (0 -- 9)","Unsure","1.4 (0.4 -- 2.1)","8.9 (2.1 -- -3.9)"
"PI-Piracuruca","11 (6 -- 18)","Unsure","1.2 (0.7 -- 1.6)","25 (4.6 -- -7.2)"
"PI-Piripiri","31 (20 -- 41)","Unsure","1 (0.7 -- 1.3)","-84 (9.9 -- -8.4)"
"PI-Queimada Nova","6 (0 -- 11)","Unsure","1.8 (0.5 -- 3.3)","3.6 (1.3 -- -3.4)"
"PI-Redenção do Gurguéia","5 (0 -- 8)","Likely increasing","1.6 (0.4 -- 2.5)","5.4 (1.7 -- -5.4)"
"PI-Ribeiro Gonçalves","5 (0 -- 7)","Likely increasing","1.5 (0.6 -- 2.4)","7.9 (2.2 -- -5.2)"
"PI-Santa Cruz do Piauí","7 (2 -- 12)","Unsure","1.1 (0.5 -- 1.7)","24 (3.7 -- -5)"
"PI-São João da Canabrava","4 (0 -- 10)","Unsure","1.4 (0.2 -- 2.9)","11 (1.7 -- -2.3)"
"PI-São João da Serra","4 (0 -- 9)","Likely increasing","1.8 (0.5 -- 3)","5 (1.5 -- -3.2)"
"PI-São João do Arraial","5 (0 -- 12)","Unsure","1.5 (0.3 -- 2.7)","6 (1.6 -- -3.7)"
"PI-São João do Piauí","11 (2 -- 16)","Likely increasing","1.5 (0.7 -- 2.2)","7.1 (2.7 -- -12)"
"PI-São Julião","4 (1 -- 8)","Likely increasing","1.7 (0.7 -- 2.9)","-80 (1.9 -- -1.9)"
"PI-São Miguel do Tapuio","6 (0 -- 10)","Likely increasing","1.5 (0.7 -- 2.3)","7 (2.2 -- -6.4)"
"PI-São Pedro do Piauí","8 (3 -- 14)","Unsure","1.3 (0.7 -- 1.8)","13 (3.2 -- -7.1)"
"PI-São Raimundo Nonato","6 (2 -- 12)","Unsure","0.8 (0.4 -- 1.3)","-12 (7 -- -3.4)"
"PI-Sebastião Leal","4 (2 -- 8)","Unsure","1.4 (0.5 -- 2.1)","13 (2.4 -- -4)"
"PI-Sigefredo Pacheco","3 (0 -- 6)","Unsure","1.5 (0.3 -- 2.5)","4.4 (1.3 -- -3.5)"
"PI-Simões","7 (2 -- 11)","Unsure","1.3 (0.6 -- 1.9)","15 (3.2 -- -6.3)"
"PI-Simplício Mendes","4 (0 -- 7)","Unsure","1.3 (0.4 -- 2.2)","9.2 (1.9 -- -3.6)"
"PI-Sussuapara","4 (0 -- 8)","Unsure","1.7 (0.5 -- 3.1)","3.8 (1.4 -- -4.4)"
"PI-Teresina","173 (137 -- 206)","Decreasing","0.9 (0.7 -- 1)","-15 (-51 -- -9)"
"PI-União","9 (1 -- 14)","Unsure","1 (0.6 -- 1.5)","-91 (5.2 -- -4.5)"
"PI-Uruçuí","15 (9 -- 23)","Unsure","0.9 (0.6 -- 1.3)","-32 (9.3 -- -5.7)"
"PI-Valença do Piauí","7 (1 -- 12)","Unsure","0.9 (0.4 -- 1.3)","-14 (6.4 -- -3.4)"
