"Region","New confirmed cases by infection date","Expected change in daily cases","Effective reproduction no.","Doubling/halving time (days)"
"CE-Hidrolândia","6 (0 -- 10)","Unsure","1.5 (0.3 -- 2.5)","6.3 (1.8 -- -5.6)"
"CE-Horizonte","7 (1 -- 10)","Unsure","0.8 (0.4 -- 1.2)","-12 (7.7 -- -3.3)"
"CE-Ibiapina","7 (1 -- 12)","Unsure","1.2 (0.5 -- 1.8)","22 (3.4 -- -5.5)"
"CE-Icapuí","5 (1 -- 8)","Unsure","1.1 (0.5 -- 1.8)","30 (3 -- -3.8)"
"CE-Icó","27 (18 -- 37)","Increasing","1.4 (1 -- 1.9)","7.1 (3.6 -- 330)"
"CE-Iguatu","17 (7 -- 23)","Unsure","0.9 (0.6 -- 1.2)","-14 (17 -- -5)"
"CE-Ipaporanga","4 (0 -- 6)","Likely increasing","1.6 (0.4 -- 2.8)","5.2 (1.6 -- -4.5)"
"CE-Ipaumirim","6 (0 -- 11)","Unsure","1.2 (0.4 -- 2)","43 (3.1 -- -3.8)"
"CE-Ipu","27 (18 -- 35)","Unsure","1.1 (0.9 -- 1.4)","19 (6 -- -17)"
"CE-Ipueiras","7 (1 -- 11)","Unsure","1.2 (0.5 -- 1.6)","18 (3.5 -- -5.1)"
"CE-Iracema","6 (1 -- 11)","Unsure","1.1 (0.5 -- 1.5)","120 (4.3 -- -4.5)"
"CE-Itapajé","6 (1 -- 9)","Unsure","1.2 (0.5 -- 1.8)","19 (3.3 -- -4.1)"
"CE-Itapipoca","11 (5 -- 18)","Unsure","1 (0.6 -- 1.6)","110 (4.6 -- -5.2)"
"CE-Itapiúna","4 (0 -- 8)","Unsure","1 (0.2 -- 1.6)","-34 (3.2 -- -2.8)"
"CE-Itarema","7 (3 -- 12)","Unsure","0.8 (0.5 -- 1.2)","-22 (6.2 -- -3.9)"
"CE-Itatira","4 (0 -- 7)","Likely increasing","1.8 (0.3 -- 3.2)","4 (1.2 -- -3.3)"
"CE-Jaguaretama","14 (7 -- 21)","Unsure","1.2 (0.7 -- 1.7)","12 (3.9 -- -9.7)"
"CE-Jaguaribara","4 (0 -- 8)","Unsure","1.6 (0.5 -- 2.7)","6.4 (1.8 -- -4.5)"
"CE-Jaguaribe","17 (8 -- 25)","Unsure","1 (0.7 -- 1.4)","-470 (7 -- -6.5)"
"CE-Jaguaruana","5 (1 -- 10)","Unsure","0.9 (0.5 -- 1.4)","-17 (6.3 -- -3.4)"
"CE-Jijoca de Jericoacoara","5 (0 -- 8)","Unsure","1 (0.4 -- 1.6)","-39 (3.7 -- -3.1)"
"CE-Juazeiro do Norte","71 (55 -- 90)","Decreasing","0.8 (0.6 -- 0.9)","-14 (-88 -- -7.1)"
"CE-Jucás","7 (2 -- 13)","Unsure","1.1 (0.4 -- 1.7)","40 (3.4 -- -4.6)"
"CE-Lavras da Mangabeira","7 (2 -- 10)","Unsure","1.1 (0.5 -- 1.5)","77 (4.1 -- -4.4)"
"CE-Limoeiro do Norte","14 (9 -- 21)","Unsure","1.1 (0.7 -- 1.4)","85 (5.8 -- -7)"
"CE-Madalena","6 (1 -- 11)","Unsure","1.2 (0.5 -- 1.9)","17 (2.7 -- -3.7)"
"CE-Maracanaú","35 (24 -- 47)","Unsure","1 (0.8 -- 1.2)","120 (11 -- -12)"
"CE-Maranguape","26 (16 -- 34)","Likely increasing","1.3 (0.9 -- 1.8)","6.9 (3.5 -- 72)"
"CE-Mauriti","11 (3 -- 19)","Unsure","1 (0.5 -- 1.5)","-46 (5.2 -- -4.5)"
"CE-Milhã","4 (1 -- 7)","Likely increasing","1.4 (0.6 -- 2.2)","8.6 (2.3 -- -5.3)"
"CE-Miraíma","4 (0 -- 7)","Unsure","1.4 (0.5 -- 2.2)","12 (2.4 -- -3.9)"
"CE-Missão Velha","4 (0 -- 9)","Unsure","1.1 (0.3 -- 1.8)","32 (2.6 -- -2.9)"
"CE-Mombaça","5 (0 -- 10)","Unsure","1 (0.4 -- 1.6)","-120 (3.6 -- -3.5)"
"CE-Monsenhor Tabosa","6 (2 -- 10)","Likely increasing","1.6 (0.7 -- 2.5)","5.3 (1.9 -- -6.9)"
"CE-Morada Nova","5 (0 -- 8)","Unsure","1 (0.3 -- 1.5)","-39 (4 -- -3.5)"
"CE-Morrinhos","5 (1 -- 9)","Unsure","1 (0.3 -- 1.6)","-26 (4.4 -- -3)"
"CE-Mucambo","4 (0 -- 6)","Unsure","1 (0.3 -- 1.6)","-9.7 (5.1 -- -2.4)"
"CE-Nova Russas","12 (5 -- 18)","Unsure","1 (0.6 -- 1.5)","210 (4.7 -- -5.4)"
"CE-Novo Oriente","5 (0 -- 8)","Unsure","1.1 (0.4 -- 1.7)","24 (2.7 -- -3.7)"
"CE-Ocara","7 (3 -- 14)","Likely increasing","1.6 (0.7 -- 2.4)","5.5 (2.1 -- -7.5)"
"CE-Orós","9 (3 -- 15)","Unsure","1.1 (0.6 -- 1.6)","26 (4 -- -6.3)"
"CE-Pacajus","12 (3 -- 19)","Unsure","1.3 (0.7 -- 1.8)","11 (3.2 -- -8.2)"
"CE-Pacatuba","6 (2 -- 10)","Unsure","0.9 (0.4 -- 1.3)","-16 (6.1 -- -3.6)"
"CE-Paracuru","7 (2 -- 11)","Unsure","1.2 (0.6 -- 1.9)","8.8 (2.5 -- -6.5)"
"CE-Paraipaba","12 (6 -- 20)","Unsure","0.9 (0.5 -- 1.2)","-16 (11 -- -4.8)"
"CE-Pentecoste","4 (0 -- 7)","Unsure","1.1 (0.4 -- 1.7)","-1300 (3.6 -- -3.6)"
"CE-Pereiro","9 (2 -- 13)","Unsure","1.2 (0.6 -- 1.8)","15 (3.5 -- -6.3)"
"CE-Pindoretama","5 (0 -- 7)","Unsure","1.4 (0.6 -- 2.1)","6.9 (2.2 -- -5.7)"
"CE-Piquet Carneiro","7 (2 -- 12)","Likely increasing","1.5 (0.7 -- 2.1)","7.1 (2.5 -- -8.3)"
"CE-Pires Ferreira","5 (1 -- 9)","Unsure","1.2 (0.6 -- 1.8)","24 (3.3 -- -4.4)"
"CE-Porteiras","7 (2 -- 11)","Unsure","1 (0.6 -- 1.5)","52 (4 -- -4.8)"
"CE-Potiretama","5 (0 -- 9)","Unsure","1.5 (0.5 -- 2.3)","7.7 (2.1 -- -4.5)"
"CE-Quiterianópolis","7 (1 -- 11)","Unsure","1.2 (0.4 -- 1.8)","13 (3 -- -5.5)"
"CE-Quixadá","18 (7 -- 26)","Unsure","1 (0.6 -- 1.3)","-780 (6.7 -- -6.6)"
"CE-Quixelô","10 (2 -- 14)","Unsure","1.1 (0.6 -- 1.6)","190 (5.4 -- -5.6)"
"CE-Quixeramobim","20 (12 -- 30)","Unsure","0.9 (0.6 -- 1.3)","-49 (8.8 -- -6.1)"
"CE-Quixeré","8 (3 -- 15)","Unsure","1.1 (0.6 -- 1.5)","41 (3.9 -- -5.7)"
"CE-Redenção","5 (0 -- 8)","Unsure","0.8 (0.4 -- 1.2)","-9.4 (8.7 -- -2.9)"
"CE-Reriutaba","7 (1 -- 13)","Unsure","1.2 (0.5 -- 1.9)","12 (2.6 -- -4.7)"
"CE-Russas","18 (9 -- 25)","Unsure","1 (0.7 -- 1.2)","-57 (9.5 -- -7)"
"CE-Santa Quitéria","15 (5 -- 22)","Likely increasing","1.3 (0.8 -- 1.7)","12 (3.9 -- -11)"
"CE-Santana do Acaraú","5 (0 -- 9)","Unsure","1 (0.4 -- 1.7)","-270 (3.7 -- -3.7)"
"CE-São Benedito","10 (3 -- 15)","Unsure","1.1 (0.6 -- 1.6)","24 (3.6 -- -5.7)"
"CE-São Gonçalo do Amarante","6 (2 -- 10)","Unsure","0.9 (0.4 -- 1.4)","-38 (4.5 -- -3.6)"
"CE-Senador Pompeu","11 (5 -- 16)","Unsure","1.2 (0.8 -- 1.7)","18 (4.2 -- -7.4)"
"CE-Senador Sá","5 (0 -- 7)","Likely increasing","1.7 (0.7 -- 2.8)","5.1 (1.8 -- -5.5)"
"CE-Sobral","32 (21 -- 43)","Unsure","0.9 (0.7 -- 1.1)","-27 (17 -- -7.5)"
"CE-Solonópole","7 (1 -- 11)","Unsure","0.8 (0.4 -- 1.2)","-13 (10 -- -3.9)"
"CE-Tabuleiro do Norte","5 (1 -- 9)","Unsure","0.9 (0.4 -- 1.3)","-9.5 (7.9 -- -3.1)"
"CE-Tamboril","4 (0 -- 7)","Unsure","1.3 (0.4 -- 2.3)","8.8 (1.9 -- -4.3)"
"CE-Tauá","8 (4 -- 14)","Unsure","1.1 (0.5 -- 1.6)","19 (3.9 -- -6.1)"
"CE-Tianguá","30 (18 -- 39)","Likely increasing","1.3 (0.8 -- 1.7)","8.7 (4 -- -38)"
"CE-Trairi","4 (1 -- 8)","Unsure","1.5 (0.3 -- 2.7)","8.3 (2 -- -3.7)"
"CE-Tururu","7 (1 -- 12)","Unsure","1.1 (0.5 -- 1.6)","-240 (3.8 -- -3.6)"
"CE-Ubajara","6 (2 -- 12)","Likely increasing","1.3 (0.7 -- 2)","7.9 (2.5 -- -6.6)"
"CE-Uruoca","12 (3 -- 20)","Likely increasing","1.4 (0.7 -- 1.9)","7.6 (2.9 -- -12)"
"CE-Varjota","9 (3 -- 14)","Unsure","1.1 (0.7 -- 1.6)","33 (4.7 -- -6.1)"
"CE-Várzea Alegre","6 (1 -- 10)","Unsure","0.8 (0.3 -- 1.2)","-9.3 (8.8 -- -3.2)"
"CE-Viçosa do Ceará","14 (5 -- 22)","Unsure","1 (0.6 -- 1.4)","210 (6 -- -5.9)"
